term,example
goddamn,She typed goddamn and logged off.
goddamn,He looked at the score and just said goddamn.
gook,He said gook at the lunch table and everyone went quiet.
gook,Someone sent a message with gook and got reported.
gook,They were suspended for yelling gook in the corridor.
gook,The audio clip caught him saying gook.
gook,A fake account replied with gook under her photo.
jackass,He muttered jackass when he thought I could not hear him.
jackass,She texted wow jackass and then unsent it.
jackass,Someone behind me said jackass after I answered.
jackass,The note on my desk just said jackass.
jackass,He laughed and called his teammate jackass after the miss.
jizz,The message turned explicit the moment someone wrote jizz.
jizz,She showed me a screenshot where he said jizz.
jizz,Someone in the thread kept baiting people with jizz.
jizz,The chat got uncomfortable after they started saying jizz.
jizz,He typed jizz and waited for everyone to react.
kike,A reply under the post used kike to target her family.
kike,He said kike during the argument and got sent out.
kike,The recording picked up somebody yelling kike.
kike,Someone scribbled kike on the bathroom wall.
kike,The message used kike to mock his background.
moron,He muttered moron when he thought I could not hear him.
moron,She texted wow moron and then unsent it.
moron,Someone behind me said moron after I answered.
moron,The note on my desk just said moron.
moron,He laughed and called his teammate moron after the miss.
motherfucker,He muttered motherfucker when he thought I could not hear him.
motherfucker,She texted wow motherfucker and then unsent it.
motherfucker,Someone behind me said motherfucker after I answered.
motherfucker,The note on my desk just said motherfucker.
motherfucker,He laughed and called his teammate motherfucker after the miss.
nigga,He said nigga at the lunch table and everyone went quiet.
nigga,Someone sent a message with nigga and got reported.
nigga,They were suspended for yelling nigga in the corridor.
nigga,The audio clip caught him saying nigga.
nigga,A fake account replied with nigga under her photo.
nigger,He said nigger at the lunch table and everyone went quiet.
nigger,Someone sent a message with nigger and got reported.
nigger,They were suspended for yelling nigger in the corridor.
nigger,The audio clip caught him saying nigger.
nigger,A fake account replied with nigger under her photo.
paki,He said paki at the lunch table and everyone went quiet.
paki,Someone sent a message with paki and got reported.
paki,They were suspended for yelling paki in the corridor.
paki,The audio clip caught him saying paki.
paki,A fake account replied with paki under her photo.
penis,The message turned explicit the moment someone wrote penis.
penis,She showed me a screenshot where he said penis.
penis,Someone in the thread kept baiting people with penis.
penis,The chat got uncomfortable after they started saying penis.
penis,He typed penis and waited for everyone to react.
piss,He slammed his book shut and said piss.
piss,The caption ended with piss in all caps.
piss,She stared at the broken screen and whispered piss.
piss,Someone in voice chat kept repeating piss.
piss,His reply was literally just piss.
pussy,The message turned explicit the moment someone wrote pussy.
pussy,She showed me a screenshot where he said pussy.
pussy,Someone in the thread kept baiting people with pussy.
pussy,The chat got uncomfortable after they started saying pussy.
pussy,He typed pussy and waited for everyone to react.
queef,The message turned explicit the moment someone wrote queef.
queef,She showed me a screenshot where he said queef.
queef,Someone in the thread kept baiting people with queef.
queef,The chat got uncomfortable after they started saying queef.
queef,He typed queef and waited for everyone to react.
rape,The message turned explicit the moment someone wrote rape.
rape,She showed me a screenshot where he said rape.
rape,Someone in the thread kept baiting people with rape.
rape,The chat got uncomfortable after they started saying rape.
rape,He typed rape and waited for everyone to react.
retard,The group chat screenshot showed someone saying retard.
retard,He snapped and called the other kid retard.
retard,Someone shouted retard from across the room.
retard,The comment thread turned nasty with retard.
retard,She froze when she heard retard behind her.
shit,He slammed his book shut and said shit.
shit,The caption ended with shit in all caps.
shit,She stared at the broken screen and whispered shit.
shit,Someone in voice chat kept repeating shit.
shit,His reply was literally just shit.
shithead,He muttered shithead when he thought I could not hear him.
shithead,She texted wow shithead and then unsent it.
shithead,Someone behind me said shithead after I answered.
shithead,The note on my desk just said shithead.
shithead,He laughed and called his teammate shithead after the miss.
slut,He muttered slut when he thought I could not hear him.
slut,She texted wow slut and then unsent it.
slut,Someone behind me said slut after I answered.
slut,The note on my desk just said slut.
slut,He laughed and called his teammate slut after the miss.
spastic,The group chat screenshot showed someone saying spastic.
spastic,He snapped and called the other kid spastic.
spastic,Someone shouted spastic from across the room.
spastic,The comment thread turned nasty with spastic.
spastic,She froze when she heard spastic behind her.
spic,He said spic at the lunch table and everyone went quiet.
spic,Someone sent a message with spic and got reported.
spic,They were suspended for yelling spic in the corridor.
spic,The audio clip caught him saying spic.
spic,A fake account replied with spic under her photo.
tosser,He muttered tosser when he thought I could not hear him.
tosser,She texted wow tosser and then unsent it.
tosser,Someone behind me said tosser after I answered.
tosser,The note on my desk just said tosser.
tosser,He laughed and called his teammate tosser after the miss.
tranny,He wrote tranny on the whiteboard as a joke.
tranny,Someone used tranny in the voice chat and got kicked.
tranny,The comment called him tranny and then added laughing emojis.
tranny,She heard tranny from the back of the class.
tranny,A student got reported for posting tranny.
twat,He slammed his book shut and said twat.
twat,The caption ended with twat in all caps.
twat,She stared at the broken screen and whispered twat.
twat,Someone in voice chat kept repeating twat.
twat,His reply was literally just twat.
wanker,He muttered wanker when he thought I could not hear him.
wanker,She texted wow wanker and then unsent it.
wanker,Someone behind me said wanker after I answered.
wanker,The note on my desk just said wanker.
wanker,He laughed and called his teammate wanker after the miss.
wetback,He said wetback at the lunch table and everyone went quiet.
wetback,Someone sent a message with wetback and got reported.
wetback,They were suspended for yelling wetback in the corridor.
wetback,The audio clip caught him saying wetback.
wetback,A fake account replied with wetback under her photo.
whore,He muttered whore when he thought I could not hear him.
whore,She texted wow whore and then unsent it.
whore,Someone behind me said whore after I answered.
whore,The note on my desk just said whore.
whore,He laughed and called his teammate whore after the miss.
zipperhead,He said zipperhead at the lunch table and everyone went quiet.
zipperhead,Someone sent a message with zipperhead and got reported.
zipperhead,They were suspended for yelling zipperhead in the corridor.
zipperhead,The audio clip caught him saying zipperhead.
zipperhead,A fake account replied with zipperhead under her photo.
assmunch,He muttered assmunch when he thought I could not hear him.
assmunch,She texted wow assmunch and then unsent it.
assmunch,Someone behind me said assmunch after I answered.
assmunch,The note on my desk just said assmunch.
assmunch,He laughed and called his teammate assmunch after the miss.
big black cock,The message turned explicit the moment someone wrote big black cock.
big black cock,She showed me a screenshot where he said big black cock.
big black cock,Someone in the thread kept baiting people with big black cock.
big black cock,The chat got uncomfortable after they started saying big black cock.
big black cock,He typed big black cock and waited for everyone to react.
bloody,He slammed his book shut and said bloody.
bloody,The caption ended with bloody in all caps.
bloody,She stared at the broken screen and whispered bloody.
bloody,Someone in voice chat kept repeating bloody.
